road,id,model_type,condition,name,lat,lon,length
N1,N1_link49,link,,,23.35701812,91.25475159,3815
N1,N1_LRP105a,bridge,A,CHANSIRI BOXCUIVERT,23.34267147,91.26448564,14.3
N1,N1_link50,link,,,23.33640885,91.26968246,1766
N1,N1_LRP107a,bridge,A,MIABAZAR BOX CULVERT,23.33014623,91.27487928,24
N1,N1_link51,link,,,23.32410796,91.27898301,1606
N1,N1_LRP109a,bridge,A,NOYA BAZER BOX CULVERT,23.31806969,91.28308673,9.2
N1,N1_link52,link,,,23.31321548,91.28483272,1164
N1,N1_LRP110a,bridge,B,DOLL BARI CULVERT,23.30836127,91.2865787,19.2
N1,N1_link53,link,,,23.30589596,91.28777787,608
N1,N1_LRP110c,bridge,B,DHARMA PUR SLAB CULVERT,23.30343065,91.28897704,2.6
N1,N1_link54,link,,,23.30069909,91.28999559,654
N1,N1_LRP111a,bridge,A,LALGORE BEZER CULVERT,23.29796753,91.29101414,3.2
N1,N1_link55,link,,,23.29383708,91.2919863,958
N1,N1_LRP112a,bridge,A,SUPUYA BOX CULVERT,23.28970664,91.29295847,13.4
N1,N1_link56,link,,,23.27577137,91.2999901,3543
N1,N1_LRP116a,bridge,B,RANGAMATIA (1) BOX CULVERT,23.26183609,91.30702174,3
N1,N1_link57,link,,,23.26062637,91.30719142,274
N1,N1_LRP116b,bridge,B,RANGOWATIA 2 CULVERT,23.25941665,91.3073611,3
N1,N1_link58,link,,,23.25852981,91.30748837,199
N1,N1_LRP116c,bridge,B,NOWA PARA BOX CULVERT,23.25764298,91.30761565,3.6
N1,N1_link59,link,,,23.2487175,91.31009487,2102
N1,N1_LRP118d,bridge,A,BALUZURI 2 CULVERT,23.23979203,91.31257409,2.6
N1,N1_link60,link,,,23.23793399,91.31278214,422
N1,N1_LRP119a,bridge,A,KALIR BAZAR BOX CULVERT,23.23607595,91.3129902,2.5
N1,N1_link61,link,,,23.23249777,91.31320613,807
N1,N1_LRP119b,bridge,B,KALIA BAZER BOC CULVERT,23.22891959,91.31342207,3.1
N1,N1_link62,link,,,23.22547674,91.31356133,772
N1,N1_LRP120b,bridge,A,CHADDAGRAM BAZAR BOX CULVERT,23.2220339,91.31370059,6
N1,N1_link63,link,,,23.21761473,91.31452517,1006
N1,N1_LRP121b,bridge,B,HAYDAR POLE BOX CULVERT,23.21319557,91.31534974,14.3
N1,N1_link64,link,,,23.2091171,91.31583323,933
N1,N1_LRP122a,bridge,A,FALGUNCORA CULVERT,23.20503863,91.31631673,6.1
N1,N1_link65,link,,,23.20061371,91.31699362,1036
N1,N1_LRP123a,bridge,A,ATTOCK GRAM BOX CULVERT,23.1961888,91.31767051,6.1
N1,N1_link66,link,,,23.17985133,91.31962973,3845
N1,N1_LRP127a,bridge,A,ANDAJER BAZER BOX CULVERT,23.16351387,91.32158895,9.5
N1,N1_link67,link,,,23.14838892,91.32456768,3507
N1,N1_LRP131a,bridge,B,JAGOT PUR BOX CULVERT,23.13326397,91.32754642,3
N1,N1_link68,link,,,23.12925016,91.32896639,957
N1,N1_LRP131b,bridge,A,HASO BOTHACH BOX CULVERT,23.12523636,91.33038637,6.5
N1,N1_link69,link,,,23.1163324,91.33521796,2243
N1,N1_LRP134a,bridge,A,Chanara Box Culvert,23.10742845,91.34004954,6.1
N1,N1_link70,link,,,23.10022914,91.34394019,1819
