road,id,model_type,break_prob,name,lat,lon,length,condition
N1,N1_LRP223a,bridge,0.508133971291866,SHLAKHAR PAD BRIDGE,22.4624386352,91.7285307,23.2,
N1,N1_link115,link,,,22.45565074279355,91.7314065447179,1632.000000000005,
N1,N1_LRP224a,bridge,0.0,KODOM RASUL BOX CULVERT,22.4488628503871,91.7342823894358,3.0,
N1,N1_link116,link,,,22.44318318600435,91.73647416839356,1385.9999999999957,
N1,N1_LRP226a,bridge,0.0,HASNA BAD BOX CULVERT,22.4375035216216,91.7386659473513,3.0,
N1,N1_link117,link,,,22.4362886567567,91.73915933329724,310.0000000000023,
N1,N1_LRP226b,bridge,0.0,VATERIE BRIDGE,22.4350737918918,91.7396527192432,40.0,
N1,N1_link118,link,,,22.4190441681959,91.7481134177466,3975.999999999999,
N1,N1_LRP230a,bridge,0.0,VATIARI CULVERT,22.4030145445,91.75657411625,5.0,
N1,N1_link119,link,,,22.399677213763248,91.75741463716385,768.0000000000007,
N1,N1_LRP231a,bridge,0.0,T. B HOSPITAL GATE BOX CULVERT,22.3963398830265,91.7582551580777,3.0,
N1,N1_link120,link,,,22.394528708794347,91.75867168595124,406.0000000000059,
N1,N1_LRP231b,bridge,0.0,GAMMON BRIDGE,22.3927175345622,91.7590882138248,18.0,
N1,N1_link121,link,,,22.388981708641097,91.7607969357924,926.9999999999925,
N1,N1_LRP232a,bridge,0.0,PAKKA MATA BOX CULVERT,22.38524588272,91.76250565776,3.0,
N1,N1_link122,link,,,22.3824735326933,91.76477665554665,790.9999999999968,
N1,N1_LRP233a,bridge,0.0,GLAXO BOX CULVERT,22.3797011826666,91.7670476533333,8.3,
N1,N1_link123,link,,,22.374692655163052,91.7704867621276,1045.000000000016,
N1,N1_LRP234a,bridge,0.0,CORNAIL HAT BOX CULVERT,22.3696841276595,91.7739258709219,3.0,
N1,N1_link124,link,,,22.35229973225755,91.81366188765165,13008.999999999985,
N1,N1_LRP240c,bridge,0.028708133971291867,RAJAKHALI RCC GIDER BRIDGE,22.3349153368556,91.8533979043814,48.5,
N1,N1_link125,link,,,22.31876944464135,91.85848130073435,4064.9999999999977,
N1,N1_LRP244a,bridge,0.0,SOUTH MITTACHORI,22.3026235524271,91.8635646970873,3.0,
N1,N1_link126,link,,,22.3000792892417,91.86496386430065,634.0000000000146,
N1,N1_LRP244c,bridge,0.0,KADUMTOLI CULVERT,22.2975350260563,91.866363031514,3.0,
N1,N1_link127,link,,,22.295385828484797,91.86739954830965,540.9999999999968,
N1,N1_LRP245a,bridge,0.0,ISLAMPUR CULVERT,22.2932366309133,91.8684360651053,1.5,
N1,N1_link128,link,,,22.292439386044848,91.86936360314084,304.00000000000205,
N1,N1_LRP245b,bridge,0.0,NOLBILA CULVERT,22.2916421411764,91.8702911411764,3.0,
N1,N1_link129,link,,,22.292125035688848,91.87165562942485,322.00000000000273,
N1,N1_LRP246a,bridge,0.0,SHIKALBAHA MORE,22.2926079302013,91.8730201176733,3.0,
N1,N1_link130,link,,,22.2935366414365,91.87486904452365,439.9999999999977,
N1,N1_LRP246b,bridge,0.0,SHIKALBAHA BOX CULVERT,22.2944653526717,91.876717971374,3.0,
N1,N1_link131,link,,,22.299000951450502,91.89057034658146,3051.9999999999927,
N1,N1_LRP250a,bridge,0.0,KUSUMPUR BOX CULVERT,22.3035365502293,91.9044227217889,3.0,
N1,N1_link132,link,,,22.30592776898255,91.90931901136615,1171.999999999997,
N1,N1_LRP251a,bridge,0.0,tassi bazer(R),22.3083189877358,91.9142153009434,3.0,
N1,N1_link133,link,,,22.3110368354226,91.91726646937761,872.9999999999905,
N1,N1_LRP252a,bridge,0.0,MONSHA CULVERT,22.3137546831094,91.9203176378118,3.0,
N1,N1_link134,link,,,22.314750746028352,91.92233502548481,512.0000000000005,
N1,N1_LRP252c,bridge,0.0,UTTOR SONAPUR,22.3157468089473,91.9243524131578,3.0,
N1,N1_link135,link,,,22.31209310943545,91.93637055556106,2905.0000000000296,
N1,N1_LRP255a,bridge,0.0,UZIRPUR HIGH SCHOOL,22.3084394099236,91.9483886979643,3.0,
N1,N1_link136,link,,,22.2997923048324,91.9658777615953,4574.000000000013,
N1,N1_LRP260a,bridge,0.0,PALYA BUS STATION,22.2911451997412,91.9833668252263,12.4,
